match_index,seed,adaptive_bats_first,winner_code,nash_winner_code
1,1501552845,True,2,2
2,488200390,False,2,2
3,1380152455,True,1,2
4,1452245846,True,2,2
5,1218704077,True,2,2
6,1284858263,False,0,0
7,1317426686,True,1,1
8,2022506251,False,1,1
9,1572889065,True,1,2
10,1432881518,True,1,2
11,155492488,False,2,1
12,1903701130,True,2,2
13,249069576,True,1,2
14,1576098728,True,1,1
15,840936862,True,2,1
16,343373188,True,2,2
17,1021240743,False,0,2
18,572134801,True,2,2
19,52416235,True,1,1
20,278032723,False,2,2
21,1733223444,False,1,1
22,1835544261,False,0,0
23,1375664061,False,1,2
24,1556456120,False,1,2
25,1162788447,False,2,1
26,1172925522,True,1,2
27,679326770,True,2,2
28,587923432,False,2,2
29,1930609499,False,1,2
30,710582861,True,1,1
31,623566272,True,1,2
32,729775797,True,1,2
33,138897982,False,1,1
34,10785379,True,1,1
35,1311962371,False,1,2
36,146217199,True,1,1
37,838210359,True,2,1
38,653669083,True,1,1
39,1731742693,True,1,1
40,467998669,True,2,1
41,1150738891,True,1,1
42,548107305,True,2,2
43,1433570083,True,2,2
44,559589597,True,1,1
45,1304975114,True,1,1
46,1064358601,False,2,2
47,1003642109,False,2,2
48,386827496,True,2,0
49,630896202,False,2,1
50,1611753761,True,1,2
51,1846620139,True,2,2
52,1631813597,True,2,1
53,921601425,False,1,1
54,1327266703,False,1,2
55,211875280,True,2,1
56,374465546,False,1,1
57,1763790482,False,2,2
58,173670537,True,2,2
59,575464499,True,1,2
60,1327991421,True,2,1
61,549845687,True,2,2
62,20856635,False,2,2
63,1871869742,True,2,2
64,2089136091,True,1,1
65,1016531149,False,1,2
66,592591844,True,1,2
67,812260400,True,2,2
68,877749363,True,2,2
69,1242333319,True,1,1
70,1675054115,False,2,2
71,2008950748,False,2,1
72,788113918,True,2,1
73,351559949,True,2,2
74,607140171,True,1,2
75,739260265,False,1,1
76,1034686946,False,2,2
77,257125713,False,2,2
78,58806094,True,2,2
79,1432184335,False,1,2
80,1605990834,True,2,2
81,1240885929,True,1,2
82,711811842,True,2,2
83,1426001516,True,1,1
84,1108650675,True,1,2
85,717277258,True,1,1
86,1884755621,True,0,0
87,1838209004,False,2,2
88,1033428674,False,1,1
89,2024285041,True,1,1
90,1518478044,False,1,1
91,54750940,False,2,1
92,746325305,False,2,2
93,364289331,False,1,1
94,2099234044,True,1,2
95,2071606571,False,2,1
96,623465425,False,1,2
97,174356552,True,2,2
98,739288336,False,1,1
99,1436250863,True,2,2
100,3261571,False,1,1
