decision_index,match_ball_index,innings,innings_ball_index,role,t,state,bucket,blend_weight,chosen_action,opponent_action,pre_observation_count,post_observation_count,nash_p_1,br_p_1,mixed_p_1,nash_p_2,br_p_2,mixed_p_2,nash_p_3,br_p_3,mixed_p_3,nash_p_4,br_p_4,mixed_p_4,nash_p_5,br_p_5,mixed_p_5,nash_p_6,br_p_6,mixed_p_6,l1_from_nash
1,1,1,1,bat_first,10,0,early,0.0,2,5,0,1,0.1870964352899009,0.0,0.1870964352899009,0.1777918660514484,0.0,0.1777918660514484,0.1694035894121344,0.0,0.1694035894121344,0.1618364046492638,0.0,0.1618364046492638,0.1550108975003447,0.0,0.1550108975003447,0.1488608070969078,1.0,0.1488608070969078,0.0
2,2,1,2,bat_first,9,2,early,0.5,6,5,1,2,0.19109380363929332,0.0,0.09554690181964666,0.17948438601168998,0.0,0.08974219300584499,0.16934172916109116,0.0,0.08467086458054558,0.16045682800129396,0.0,0.08022841400064698,0.15296878566284608,0.0,0.07648439283142304,0.1466544675237856,1.0,0.5733272337618928,0.8533455324762144
3,3,1,3,bat_first,8,8,early,0.6666666666666666,5,4,2,3,0.19186493021380935,0.0,0.06395497673793646,0.17960183172088698,0.0,0.05986727724029567,0.16922971287594618,0.0,0.05640990429198207,0.1603796722083793,0.0,0.053459890736126434,0.152771410935874,0.0,0.050923803645291345,0.14615244204510405,1.0,0.715384147348368,1.1384634106065277
4,4,1,4,bat_first,7,13,early,0.75,6,3,3,4,0.1936045678100896,0.0,0.0484011419525224,0.18042267781964896,0.0,0.04510566945491224,0.16935499367371754,0.0,0.042338748418429384,0.15994332016611656,0.0,0.03998583004152914,0.1518506755354783,0.0,0.03796266888386957,0.14482376499494906,1.0,0.7862059412487372,1.2827643525075763
5,5,1,5,bat_first,6,19,mid,0.0,6,3,0,1,0.19588380960948454,0.0,0.19588380960948445,0.18146575336531848,0.0,0.1814657533653184,0.16946108800102552,0.0,0.16946108800102544,0.15932451939883138,0.0,0.1593245193988313,0.15066538407991198,0.0,0.15066538407991192,0.1431994455454283,1.0,0.14319944554542824,4.440892098500626e-16
6,6,1,6,bat_first,5,25,mid,0.5,1,4,1,2,0.1981497849401249,0.0,0.09907489247006245,0.1823175682779322,0.0,0.0911587841389661,0.1693595004815165,0.0,0.08467975024075824,0.1586146553753795,0.0,0.07930732768768975,0.14958839966740597,0.0,0.07479419983370299,0.1419700912576409,1.0,0.5709850456288205,0.8580299087423591
7,7,1,7,bat_first,4,26,mid,0.6666666666666666,6,1,2,3,0.0,0.0,0.0,0.23247577439556788,0.0,0.07749192479852264,0.21299104317630912,0.0,0.07099701439210306,0.1971400515533157,0.0,0.06571335051777191,0.18411552470042075,0.0,0.061371841566806924,0.1732776061743866,1.0,0.7244258687247955,1.1022965251008179
8,8,1,8,bat_first,3,32,late,0.0,5,5,0,1,0.0,0.0,0.0,0.2378088405628823,0.0,0.2378088405628823,0.21426953579518915,0.0,0.21426953579518915,0.1960791956312303,0.0,0.1960791956312303,0.18164377475873883,0.0,0.18164377475873883,0.17019865325195938,1.0,0.17019865325195938,0.0
9,9,2,1,bowl_second,10,33,medium,0.0,6,5,0,1,0.0,0.0,0.0,0.06612079751044064,0.0,0.06612079751044064,0.1428258097399537,0.0,0.1428258097399537,0.20851964210907362,0.0,0.20851964210907362,0.2654846713868107,0.0,0.2654846713868107,0.3170490792537214,1.0,0.3170490792537214,0.0
10,10,2,2,bowl_second,9,28,medium,0.5,6,4,1,2,0.0,0.0,0.0,0.07804985358865477,0.0,0.03902492679432738,0.14641529363137976,0.0,0.07320764681568988,0.20663108364865887,0.0,0.10331554182432943,0.2605966781996405,0.0,0.13029833909982025,0.3083070909316661,1.0,0.654153545465833,0.6916929090683339
11,11,2,3,bowl_second,8,24,medium,0.6666666666666666,4,5,2,3,0.004727179986025676,0.0,0.0015757266620085588,0.08136000016352618,0.0,0.02712000005450873,0.14682091142462758,0.0,0.0489403038082092,0.20589428641638788,0.0,0.06863142880546264,0.2576022137385452,0.0,0.08586740457951507,0.3035954082708875,1.0,0.7678651360902958,0.9285394556388167
12,12,2,4,bowl_second,7,19,medium,0.75,3,6,3,4,0.020543263336133766,0.0,0.0051358158340334414,0.08879895708835127,0.0,0.022199739272087817,0.14915770346007598,0.0,0.037289425865018995,0.20184207964586048,0.0,0.05046051991146512,0.24863432523743872,0.0,0.06215858130935968,0.29102367123213974,1.0,0.8227559178080349,1.0634644931517903
13,13,2,5,bowl_second,6,13,medium,0.8,6,6,4,5,0.042910282584546766,0.0,0.008582056516909353,0.09985955523807506,0.0,0.01997191104761501,0.15016919961619826,0.0,0.030033839923239648,0.19488205212801055,0.0,0.038976410425602105,0.2347354288559503,0.0,0.046947085771190056,0.277443481577219,1.0,0.8554886963154439,1.1560904294764498
