decision_index,match_ball_index,innings,innings_ball_index,role,t,state,bucket,blend_weight,chosen_action,opponent_action,pre_observation_count,post_observation_count,nash_p_1,br_p_1,mixed_p_1,nash_p_2,br_p_2,mixed_p_2,nash_p_3,br_p_3,mixed_p_3,nash_p_4,br_p_4,mixed_p_4,nash_p_5,br_p_5,mixed_p_5,nash_p_6,br_p_6,mixed_p_6,l1_from_nash
1,1,1,1,bat_first,12,0,early,0.0,2,5,0,1,0.18620217557045524,0.0,0.18620217557045524,0.17733968204905348,0.0,0.17733968204905348,0.16932082467263168,0.0,0.16932082467263168,0.16206396896263522,0.0,0.16206396896263522,0.1555005050261949,0.0,0.1555005050261949,0.14957284371902957,1.0,0.14957284371902957,0.0
2,2,1,2,bat_first,11,2,early,0.5,6,5,1,2,0.1896913968764522,0.0,0.0948456984382261,0.17880542760315576,0.0,0.08940271380157788,0.16924046914632138,0.0,0.08462023457316069,0.16082165244469904,0.0,0.08041082622234952,0.15371599530256785,0.0,0.07685799765128393,0.14772505862680374,1.0,0.5738625293134019,0.8522749413731963
3,3,1,3,bat_first,10,8,early,0.6666666666666666,5,4,2,3,0.18979286860755032,0.0,0.06326428953585012,0.1786005265375636,0.0,0.05953350884585454,0.16907760656079346,0.0,0.05635920218693116,0.16091578867631898,0.0,0.053638596225439664,0.15387670871582987,0.0,0.05129223623860996,0.14773650090194373,1.0,0.7159121669673145,1.1363513321307415
4,4,1,4,bat_first,9,13,early,0.75,6,3,3,4,0.19057005408249544,0.0,0.04764251352062386,0.17897160160347056,0.0,0.04474290040086764,0.16914850549240626,0.0,0.042287126373101565,0.16073634816554494,0.0,0.040184087041386235,0.1534610788556005,0.0,0.03836526971390013,0.14711241180048223,1.0,0.7867781029501205,1.2793313822992767
5,5,1,5,bat_first,8,19,mid,0.0,6,3,0,1,0.19169573554295066,0.0,0.19169573554295066,0.17951402206652373,0.0,0.17951402206652373,0.16923340711789206,0.0,0.16923340711789206,0.16044857340394222,0.0,0.16044857340394222,0.1528611850889197,0.0,0.1528611850889197,0.14624707677977164,1.0,0.14624707677977164,0.0
6,6,1,6,bat_first,7,25,mid,0.5,1,4,1,2,0.1930396832861979,0.0,0.09651984164309894,0.1801482231432831,0.0,0.09007411157164155,0.16931244852506364,0.0,0.08465622426253182,0.16008761458140766,0.0,0.08004380729070383,0.1521506647328232,0.0,0.0760753323664116,0.14526136573122453,1.0,0.5726306828656123,0.8547386342687755
7,7,1,7,bat_first,6,26,mid,0.6666666666666666,6,2,2,3,0.19544771196214925,0.0,0.06514923732071642,0.1812477744083416,0.0,0.060415924802780546,0.16942276028533665,0.0,0.05647425342844556,0.15943543760523973,0.0,0.05314514586841325,0.15090210075996968,0.0,0.050300700253323234,0.14354421497896297,1.0,0.714514738326321,1.1419410466947157
8,8,1,8,bat_first,5,32,mid,0.75,6,5,3,4,0.19775087730428206,0.0,0.049437719326070516,0.18211002995798609,0.0,0.04552750748949652,0.16931666827878014,0.0,0.042329167069695035,0.15871381410240812,0.0,0.03967845352560203,0.14981157247208413,0.0,0.03745289311802103,0.14229703788445944,1.0,0.7855742594711148,1.2865544431733107
9,9,1,9,bat_first,4,38,late,0.0,3,6,0,1,0.0,0.0,0.0,0.22931519231802,0.0,0.22931519231802,0.211606750897565,0.0,0.211606750897565,0.1973399431354238,0.0,0.1973399431354238,0.18567584200251766,0.0,0.18567584200251766,0.17606227164647356,1.0,0.17606227164647356,0.0
10,10,1,10,bat_first,3,41,late,0.5,4,3,1,2,0.0,0.0,0.0,0.23580286503291945,0.0,0.11790143251645972,0.21341500777112493,0.0,0.10670750388556247,0.19619504304340152,0.0,0.09809752152170076,0.1827162638390415,0.0,0.09135813191952075,0.17187082031351264,1.0,0.5859354101567563,0.8281291796864874
11,11,1,11,bat_first,2,45,late,0.6666666666666666,6,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.28992925399745406,0.0,0.09664308466581803,0.257958560838678,0.0,0.08598618694622602,0.23476876948079367,0.0,0.0782562564935979,0.21734341568307425,1.0,0.7391144718943581,1.0435421124225677
12,12,1,12,bat_first,1,51,late,0.75,6,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.326459410384511,0.0,0.08161485259612775,0.26042066767424293,0.0,0.06510516691856073,0.2198511453003911,0.0,0.054962786325097775,0.19326877664085498,1.0,0.7983171941602137,1.2100968350387176
13,13,2,1,bowl_second,12,58,high,0.0,5,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07981169482096616,0.0,0.07981169482096616,0.37364069707139813,0.0,0.37364069707139813,0.5465476081076358,1.0,0.5465476081076358,0.0
14,14,2,2,bowl_second,11,52,high,0.5,5,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330124487333716,0.0,0.0665062243666858,0.36258422024436915,0.0,0.18129211012218457,0.5044033310222592,1.0,0.7522016655111297,0.4955966689777408
