T,M_fixed,win_rate
2,6,0.728
3,6,0.685
4,6,0.616
5,6,0.574
6,6,0.569
7,6,0.532
8,6,0.534
9,6,0.486
10,6,0.488
11,6,0.493
12,6,0.512
13,6,0.517
14,6,0.492
15,6,0.521
16,6,0.502
17,6,0.525
18,6,0.547
19,6,0.514
20,6,0.47
21,6,0.531
22,6,0.515
23,6,0.547
24,6,0.522
25,6,0.47
26,6,0.483
27,6,0.497
28,6,0.466
29,6,0.497
30,6,0.532
31,6,0.453
32,6,0.503
33,6,0.51
34,6,0.494
35,6,0.507
36,6,0.471
37,6,0.52
38,6,0.541
39,6,0.517
40,6,0.501
41,6,0.461
42,6,0.501
43,6,0.507
44,6,0.505
45,6,0.512
46,6,0.47
47,6,0.524
48,6,0.533
49,6,0.495
